Name of Stock,End of Year Book Value,End of Year Fair Market Value
ABERDEEN EMERGING MARKETS EQUI,"19,418,556","19,418,556"
ABERDEEN JAPAN EQUITY FUND INC,"1,083,622","1,083,622"
ABERDEEN LATIN AMERICAN INCOME,"1,536,339","1,536,339"
ABERDEEN NEW INDIA INVESTMENT,"4,626,911","4,626,911"
ABERDEEN STANDARD ASIA FOCUS P,"24,939,227","24,939,227"
ABERFORTH SMALLER COMPANIES TR,"491,314","491,314"
ADECCO GROUP AG REG,"6,325,057","6,325,057"
ADEVINTA ASA,"606,966","606,966"
ADMIRAL GROUP PLC,"4,524,075","4,524,075"
AEON MALL CO LTD,"11,109,282","11,109,282"
AIR WATER INC,"16,719,074","16,719,074"
AIRPORTS CORP OF VIETNAM JSC,"4,775,738","4,775,738"
ALFRESA HOLDINGS CORP,"28,794,694","28,794,694"
ALIBABA GROUP HOLDING SP ADR,"50,246,407","50,246,407"
ALLIANCEBERNSTEIN NATIONAL MUN,"377,155","377,155"
ALPHABET INC CL A,"43,560,115","43,560,115"
ALTEN SA,"2,743,698","2,743,698"
AMAZON.COM INC,"105,622,240","105,622,240"
AMEDEO AIR FOUR PLUS LTD,"279,477","279,477"
AMERICAN TOWER CORP,"2,154,816","2,154,816"
AMGEN INC,"1,793,376","1,793,376"
AMPLIFON SPA,"1,720,297","1,720,297"
ANEST IWATA CORP,"3,995,488","3,995,488"
ANHUI CONCH CEMENT CO LTD A,"44,153,302","44,153,302"
APPLE INC,"139,975,079","139,975,079"
ARCS CO LTD,"14,098,855","14,098,855"
ASIA DRAGON TRUST PLC,"51,337,072","51,337,072"
ASML HOLDING NV,"3,422,467","3,422,467"
ASTRA INTERNATIONAL TBK PT,"7,066,988","7,066,988"
AUTO TRADER GROUP PLC,"3,245,796","3,245,796"
AVI JAPAN OPPORTUNITY TRUST PL,"720,824","720,824"
AZBIL CORP,"20,064,623","20,064,623"
BAIDU INC SPON ADR,"14,513,813","14,513,813"
BAILLIE GIFFORD UK GROWTH FUND,"1,630,347","1,630,347"
BANGLADESH FUND,"1,544,337","1,544,337"
BANKIA SA,"2,261,634","2,261,634"
BARRATT DEVELOPMENTS PLC,"1,284,928","1,284,928"
BAYERISCHE MOTOREN WERKE AG,"4,116,601","4,116,601"
BERKSHIRE HATHAWAY INC CL B,"9,762,746,996","9,762,746,996"
BIDVEST GROUP LTD,"47,858,403","47,858,403"
BLACKROCK 2022 GLOBAL INCOME O,"12,457","12,457"
BLACKROCK CREDIT ALLOCATION IN,"1,534,709","1,534,709"
BLACKROCK ENHANCED INTERNATION,"1,972,567","1,972,567"
BLACKROCK INCOME TRUST INC,"142,165","142,165"
BLACKROCK MUNI INTERMEDIATE DU,"501,372","501,372"
BLACKROCK MUNIYIELD MICHIGAN Q,"284,115","284,115"
BLACKROCK RESOURCES + COMMODIT,"1,948,852","1,948,852"
BMO GLOBAL SMALLER COMPANIES P,"644,956","644,956"
BOOKING HOLDINGS INC,"3,196,132","3,196,132"
BP PLC,"13,967,833","13,967,833"
BRENNTAG AG,"6,230,584","6,230,584"
BRILLIANCE CHINA AUTOMOTIVE,"23,779,021","23,779,021"
BRUNNER INVESTMENT TRUST PLC/T,"359,627","359,627"
BUNZL PLC,"6,821,910","6,821,910"
CANADIAN NATL RAILWAY CO,"1,865,172,590","1,865,172,590"
CAPITA PLC,"1,698,165","1,698,165"
CARLSON TRAVEL INC,"40,005","40,005"
CASIO COMPUTER CO LTD,"4,997,914","4,997,914"
CBRE CLARION GLOBAL REAL ESTAT,"1,352,574","1,352,574"
CHINA CONCH VENTURE HOLDINGS,"82,492,833","82,492,833"
CHINA FORESTRY HOLDINGS CO,622,622
CHINA LESSO GROUP HOLDINGS L,"6,129,613","6,129,613"
CHINA MERCHANTS BANK A,"39,415,935","39,415,935"
CHINA NATIONAL BUILDING MA H,"28,025,448","28,025,448"
CHUBB LTD,"1,577,680","1,577,680"
CIA DE MINAS BUENAVENTUR ADR,"11,949,113","11,949,113"
CIE FINANCIERE RICHEMO A REG,"34,637","34,637"
CISCO SYSTEMS INC,"3,020,625","3,020,625"
CK ASSET HOLDINGS LTD,"6,182,619","6,182,619"
CK HUTCHISON HOLDINGS LTD,"9,970,389","9,970,389"
CNH INDUSTRIAL NV,"7,784,801","7,784,801"
COCA COLA FEMSA SAB DE CV,"646,869","646,869"
COHEN + STEERS QUALITY INCOME,"410,862","410,862"
COMCAST CORP CLASS A,"2,698,600","2,698,600"
COMPASS GROUP PLC,"9,347,117","9,347,117"
CONSUMER STAPLES SELECT SECTOR,"1,719,975","1,719,975"
CONVATEC GROUP PLC,"5,194,493","5,194,493"
CRH PLC,"1,076,342","1,076,342"
CTS EVENTIM AG + CO KGAA,"2,729,605","2,729,605"
DAI ICHI LIFE HOLDINGS INC,"121,451,197","121,451,197"
DAIHEN CORP,"21,098,198","21,098,198"
DAIRY FARM INTL HLDGS LTD,"7,486,401","7,486,401"
DAIWA SECURITIES GROUP INC,"4,515,405","4,515,405"
DALI FOODS GROUP CO LTD,"2,648,967","2,648,967"
DAVIDE CAMPARI MILANO NV,"2,360,993","2,360,993"
DELAWARE INVTS MINN MUN,"369,656","369,656"
DENKA CO LTD,"16,538,438","16,538,438"
DEUTSCHE TELEKOM AG REG,"3,470,435","3,470,435"
DIAGEO PLC,"20,524,018","20,524,018"
DNB ASA,"2,848,835","2,848,835"
DON JERSEY TOPCO LIMITED,"1,174,210","1,174,210"
DOSHISHA CO LTD,"7,177,376","7,177,376"
DOUBLELINE YIELD OPPORTUNITIES,"64,156","64,156"
DTF TAX FREE INCOME INC,"4,470","4,470"
EASTMAN CHEMICAL CO,"2,507,000","2,507,000"
EATON CORP PLC,"3,135,654","3,135,654"
EATON VANCE LTD DURATION INCOM,"212,972","212,972"
EATON VANCE SHORT DURATION DIV,"292,487","292,487"
EBARA CORP,"10,954,254","10,954,254"
EDENRED,"6,415,791","6,415,791"
ELIS SA,"1,171,675","1,171,675"
EMAAR PROPERTIES PJSC,"27,717,625","27,717,625"
EQUINOR ASA,"6,395,850","6,395,850"
EUROFINS SCIENTIFIC,"5,876,461","5,876,461"
EUROPEAN ASSETS TRUST PLC/FUND,"1,926,070","1,926,070"
EVER SUNSHINE LIFESTYLE SERV,"34,874,773","34,874,773"
EXXON MOBIL CORP,"700,740","700,740"
FACEBOOK INC CLASS A,"4,513,969","4,513,969"
FERROVIAL SA,"914,736","914,736"
FIDELITY EUROPEAN TRUST PLC,"7,221,844","7,221,844"
FIRST TRUST DYNAMIC EUROPE EQU,"1,785,281","1,785,281"
FLUIDRA SA,"2,194,063","2,194,063"
FOMENTO DE CONSTRUC Y CONTRA,"77,270,468","77,270,468"
FRESENIUS MEDICAL CARE AG +,"6,940,046","6,940,046"
FUJI CORP/AICHI,"15,109,448","15,109,448"
FUJI OIL HOLDINGS INC,"20,080,532","20,080,532"
FUKUDA DENSHI CO LTD,"11,608,310","11,608,310"
FUNDSMITH EMERGING EQUITIES TR,"9,025,984","9,025,984"
GDS HOLDINGS LTD ADR,"40,169,781","40,169,781"
GEBERIT AG REG,"9,237,607","9,237,607"
GERRESHEIMER AG,"1,256,403","1,256,403"
GETINGE AB B SHS,"2,365,722","2,365,722"
GIVAUDAN REG,"714,191,934","714,191,934"
GN STORE NORD A/S,"9,399,873","9,399,873"
GREE ELECTRIC APPLIANCES I A,"57,678,549","57,678,549"
GRUPO TELEVISA SA SPON ADR,"139,083,817","139,083,817"
GULF INVESTMENT FUND PLC,"5,710,876","5,710,876"
HAIDILAO INTERNATIONAL HOLDI,"42,061,827","42,061,827"
HAIER SMART HOME CO LTD H,"82,660,681","82,660,681"
HANNOVER RUECK SE,"1,447,133","1,447,133"
HARBORVIEW NIM CI 4 CORP,126,126
HAYS PLC,"4,640,514","4,640,514"
HEINEKEN HOLDING NV,"17,044,833","17,044,833"
HELLOFRESH SE,"11,847,786","11,847,786"
HENDERSON ALTERNATIVE STRATEGI,"1,977,914","1,977,914"
HENDERSON SMALLER COMPANIES IN,"1,088,889","1,088,889"
HI LEX CORP,"5,649,668","5,649,668"
HISCOX LTD,"1,032,716","1,032,716"
HITACHI LTD,"158,213,918","158,213,918"
HOME DEPOT INC,"2,223,239","2,223,239"
HON HAI PRECISION INDUSTRY,"42,533,213","42,533,213"
HORIBA LTD,"17,907,695","17,907,695"
HOUSING DEVELOPMENT FINANCE,"58,656,266","58,656,266"
HYUNDAI MOBIS CO LTD,"32,957,924","32,957,924"
IG GROUP HOLDINGS PLC,"3,123,441","3,123,441"
INABATA + CO LTD,"13,624,592","13,624,592"
INDIA CAPITAL GROWTH FUND LTD,"3,550,240","3,550,240"
INFORMA PLC,"884,486","884,486"
INPEX CORP,"19,663,159","19,663,159"
INTERCONTINENTAL HOTELS GROU,"732,520","732,520"
INTERTEK GROUP PLC,"12,129,956","12,129,956"
INVESCO ASIA TRUST PLC,"12,143,558","12,143,558"
INVESCO DYNAMIC CREDIT OPPORTU,"1,765,570","1,765,570"
ISHARES 1 3 YEAR TREASURY BOND,"696,482","696,482"
ISHARES 7 10 YEAR TREASURY BON,"4,248,509","4,248,509"
ISHARES CORE MSCI EMERGING MAR,"2,625,595","2,625,595"
ISHARES MSCI BRAZIL ETF,"3,414,184","3,414,184"
ISHARES MSCI EUROZONE ETF,"4,019,082","4,019,082"
ISHARES MSCI GERMANY ETF,"2,122,713","2,122,713"
ISHARES MSCI MALAYSIA ETF,"1,733,242","1,733,242"
ISHARES MSCI SWITZERLAND ETF,"2,736,873","2,736,873"
ISHARES US TECHNOLOGY ETF,"5,921,568","5,921,568"
ITOCHU CORP,"10,596,275","10,596,275"
JAFCO GROUP CO LTD,"65,125,091","65,125,091"
JAPAN PURE CHEMICAL CO LTD,"3,556,443","3,556,443"
JCDECAUX SA,"3,107,469","3,107,469"
JIANGSU HENGRUI MEDICINE C A,"72,123,063","72,123,063"
JOHN WOOD GROUP PLC,"1,936,768","1,936,768"
JPMORGAN ASIA GROWTH + INCOME,"12,014,200","12,014,200"
JPMORGAN CHINA GROWTH + INCOME,"8,929,827","8,929,827"
JPMORGAN EUROPEAN INVESTMENT T,"2,905,095","2,905,095"
JPMORGAN GLOBAL EMERGING MARKE,"4,675,254","4,675,254"
JPMORGAN JAPAN SMALL CAP GROWT,"2,884,643","2,884,643"
JUPITER FUND MANAGEMENT,"2,446,130","2,446,130"
K S HOLDINGS CORP,"17,787,790","17,787,790"
KAKAKU.COM INC,"66,358,148","66,358,148"
KANAMOTO CO LTD,"9,109,113","9,109,113"
KANEMATSU CORP,"16,851,464","16,851,464"
KAO CORP,"103,364,134","103,364,134"
KDDI CORP,"7,637,902","7,637,902"
KENEDIX INC,"11,835,998","11,835,998"
KEYSTONE INVESTMENT TRUST PLC,"1,564,339","1,564,339"
KIRIN HOLDINGS CO LTD,"196,242,944","196,242,944"
KOKUYO CO LTD,"15,966,487","15,966,487"
KONINKLIJKE AHOLD DELHAIZE N,"4,822,512","4,822,512"
KONINKLIJKE PHILIPS NV,"5,504,761","5,504,761"
KOREA FUND INC/THE,"9,916,537","9,916,537"
KWEICHOW MOUTAI CO LTD A,"60,463,345","60,463,345"
KYOWA EXEO CORP,"15,656,981","15,656,981"
L OCCITANE INTERNATIONAL SA,"8,168,925","8,168,925"
LEXINFINTECH HOLDINGS L ADR,"14,866,442","14,866,442"
LIBERTY GLOBAL PLC C,"86,070,604","86,070,604"
LIBERTY LATIN AMERIC CL A,"3,076,811","3,076,811"
LIXIL CORP,"50,082,972","50,082,972"
LOCKHEED MARTIN CORP,"2,094,382","2,094,382"
LOWE S COS INC,"2,728,670","2,728,670"
MACROMILL INC,"7,286,319","7,286,319"
MANDOM CORP,"11,084,818","11,084,818"
MARUICHI STEEL TUBE LTD,"12,906,055","12,906,055"
MATSUMOTOKIYOSHI HOLDINGS CO,"7,121,313","7,121,313"
MCCARTHY + STONE PLC,"505,545","505,545"
MEDIPAL HOLDINGS CORP,"60,521,087","60,521,087"
MELCO INTERNATIONAL DEVELOP.,"10,879,437","10,879,437"
MERCK + CO. INC.,"2,372,200","2,372,200"
MFS CHARTER INCOME TRUST,"53,006","53,006"
MFS INTERMEDIATE INCOME TRUST,"701,010","701,010"
MIDDLEFIELD CANADIAN INCOME PC,"967,707","967,707"
MILITARY COMMERCIAL JOINT,"5,226,453","5,226,453"
MINEBEA MITSUMI INC,"2,664,017","2,664,017"
MIRAIT HOLDINGS CORP,"18,323,018","18,323,018"
MITSUBISHI ESTATE CO LTD,"22,752,956","22,752,956"
MITSUBISHI UFJ FINANCIAL GRO,"54,357,825","54,357,825"
MONTANARO EUROPEAN SMALLER COS,"881,981","881,981"
MORGAN STANLEY CHINA A SHARE F,"3,248,851","3,248,851"
MORGAN STANLEY INDIA INVESTMEN,"9,553,917","9,553,917"
MURRAY INCOME TRUST PLC,"1,712,117","1,712,117"
NAGASE + CO LTD,"18,962,662","18,962,662"
NASPERS LTD N SHS,"34,628,458","34,628,458"
NB GLOBAL MONTHLY INCOME FUND,"805,624","805,624"
NET ONE SYSTEMS CO LTD,"38,848,525","38,848,525"
NEW GERMANY FUND INC/THE,"2,390,244","2,390,244"
NEW ORIENTAL EDUCATIO SP ADR,"36,609,958","36,609,958"
NH FOODS LTD,"31,269,253","31,269,253"
NIKKON HOLDINGS CO LTD,"9,563,716","9,563,716"
NINTENDO CO LTD,"8,033,881","8,033,881"
NIPPON DENSETSU KOGYO CO LTD,"12,602,354","12,602,354"
NIPPON SEIKI CO LTD,"6,442,830","6,442,830"
NIPPON STEEL CORP,"40,373,155","40,373,155"
NIPPON TELEGRAPH + TELEPHONE,"118,688,130","118,688,130"
NISSAN CHEMICAL CORP,"9,560,637","9,560,637"
NOMURA HOLDINGS INC,"50,525,134","50,525,134"
NORDIC ENTERTAINMENT GROUP B,"3,238,576","3,238,576"
NOVO NORDISK A/S B,"12,902,104","12,902,104"
NSD CO LTD,"28,309,175","28,309,175"
NTT DATA CORP,"79,586,987","79,586,987"
NUVEEN AMT FREE QUALITY MUNICI,"2,082,426","2,082,426"
NUVEEN EMERGING MARKETS DEBT 2,"42,292","42,292"
NUVEEN INTERMEDIATE DURATION M,"657,440","657,440"
NUVEEN MARYLAND QUALITY MUNICI,"241,267","241,267"
NUVEEN MORTGAGE AND INCOME FUN,"41,181","41,181"
NUVEEN NEW JERSEY QUALITY MUNI,"223,655","223,655"
NUVEEN PENNSYLVANIA QUALITY MU,"306,764","306,764"
OBAYASHI CORP,"45,793,472","45,793,472"
OCEAN WILSONS HOLDINGS LTD,"4,310,418","4,310,418"
OESTERREICHISCHE POST AG,"1,396,383","1,396,383"
OKUMURA CORP,"9,512,664","9,512,664"
ONWARD HOLDINGS CO LTD,"4,799,625","4,799,625"
ORACLE CORP JAPAN,"76,391,883","76,391,883"
ORION CORP/REPUBLIC OF KOREA,"35,739,350","35,739,350"
ORSTED A/S,"8,413,938","8,413,938"
PACIFIC INDUSTRIAL CO LTD,"11,393,793","11,393,793"
PARAMOUNT BED HOLDINGS CO LT,"14,013,148","14,013,148"
PEPSICO INC,"2,402,460","2,402,460"
PERSHING SQUARE HOLDINGS LTD/F,"4,598,029","4,598,029"
PETROFAC LTD,"135,416","135,416"
PFIZER INC,"1,509,210","1,509,210"
PING AN INSURANCE GROUP CO A,"79,216,039","79,216,039"
PIONEER MUNICIPAL HIGH INCOME,"471,265","471,265"
PNB HOUSING FINANCE LTD,"157,969","157,969"
POSCO,"44,601,440","44,601,440"
PROSUS NV,"8,043,057","8,043,057"
PRUDENTIAL PLC,"1,125,704","1,125,704"
QUADIENT SA,"613,711","613,711"
RANDSTAD NV,"1,121,351","1,121,351"
RAYTHEON TECHNOLOGIES CORP,"1,301,482","1,301,482"
RELX PLC,"7,011,508","7,011,508"
RENESAS ELECTRONICS CORP,"36,214,352","36,214,352"
REPLY SPA,"1,151,934","1,151,934"
RICOH LEASING CO LTD,"9,217,880","9,217,880"
RIO TINTO PLC,"7,935,566","7,935,566"
ROCHE HOLDING AG GENUSSCHEIN,"18,586,842","18,586,842"
ROLLS ROYCE HOLDINGS PLC,"3,494,122","3,494,122"
RWS HOLDINGS PLC,"875,478","875,478"
SAMPO OYJ A SHS,"7,580,585","7,580,585"
SAN A CO LTD,"42,603,618","42,603,618"
SANKI ENGINEERING CO LTD,"8,224,127","8,224,127"
SCHIBSTED ASA B SHS,"1,266,508","1,266,508"
SCHNEIDER ELECTRIC SE,"7,268,708","7,268,708"
SCHRODER JAPAN GROWTH FUND PLC,"1,996,434","1,996,434"
SCHRODINGER INC,"552,808,156","552,808,156"
SCOTTISH INVESTMENT TRUST PLC,"1,692,771","1,692,771"
SCOTTISH ORIENTAL SMALLER COMP,"19,052,090","19,052,090"
SECOM CO LTD,"14,573,468","14,573,468"
SEINO HOLDINGS CO LTD,"18,672,817","18,672,817"
SEKISUI HOUSE LTD,"16,271,974","16,271,974"
SELECTED AMERICAN SHARES INC,"82,504,948","82,504,948"
SEQUOIA ECONOMIC INFRASTRUCTUR,"861,758","861,758"
SEVEN + I HOLDINGS CO LTD,"41,599,440","41,599,440"
SHENZHOU INTERNATIONAL GROUP,"490,079","490,079"
SHIMIZU CORP,"1,081,650","1,081,650"
SHOEI CO LTD,"27,528,951","27,528,951"
SIKA AG REG,"1,031,866,011","1,031,866,011"
SKY PERFECT JSAT HOLDINGS,"16,932,349","16,932,349"
SOMPO HOLDINGS INC,"60,292,160","60,292,160"
SPROTT FOCUS TRUST INC,"956,747","956,747"
ST JAMES S PLACE PLC,"3,120,659","3,120,659"
STANDARD BANK GROUP LTD,"24,963,967","24,963,967"
SUMITOMO BAKELITE CO LTD,"1,705,458","1,705,458"
SUMITOMO FORESTRY CO LTD,"44,442,354","44,442,354"
SUMITOMO MITSUI FINANCIAL GR,"48,459,947","48,459,947"
SUMITOMO WAREHOUSE CO LTD,"11,186,982","11,186,982"
SUZANO SA,"60,892,093","60,892,093"
SVENSKA HANDELSBANKEN A SHS,"4,788,608","4,788,608"
T HASEGAWA CO LTD,"33,284,053","33,284,053"
TAIHEIYO CEMENT CORP,"57,385,217","57,385,217"
TAISEI LAMICK CO LTD,"3,749,426","3,749,426"
TAIWAN SEMICONDUCTOR MANUFAC,"134,344,814","134,344,814"
TAKASAGO THERMAL ENGINEERING,"10,610,683","10,610,683"
TAKUMA CO LTD,"13,846,822","13,846,822"
TATA CONSULTANCY SVCS LTD,"107,367,416","107,367,416"
TBS HOLDINGS INC,"30,713,352","30,713,352"
TECHNICOLOR REGR,"1,098,804","1,098,804"
TECHNOLOGY SELECT SECTOR SPDR,"6,370,980","6,370,980"
TEIJIN LTD,"15,182,527","15,182,527"
TELESITES SAB DE CV,"2,389,320","2,389,320"
TEMPLETON DRAGON FUND INC,"40,931,275","40,931,275"
TEMPLETON EMERGING MARKETS INV,"88,704,365","88,704,365"
TEMPLETON GLOBAL INCOME FUND,"157,542","157,542"
TENCENT HOLDINGS LTD,"97,047,119","97,047,119"
THALES SA,"1,826,738","1,826,738"
THERMO FISHER SCIENTIFIC INC,"2,643,302","2,643,302"
TJX COMPANIES INC,"2,902,325","2,902,325"
TOCALO CO LTD,"8,240,975","8,240,975"
TOHO CO LTD,"9,323,987","9,323,987"
TOKAI RIKA CO LTD,"15,211,390","15,211,390"
TOKYO GAS CO LTD,"5,643,369","5,643,369"
TOKYO SEIMITSU CO LTD,"14,064,507","14,064,507"
TOPPAN PRINTING CO LTD,"54,287,869","54,287,869"
TOSEI CORP,"16,451,489","16,451,489"
TOYO INK SC HOLDINGS CO LTD,"11,465,931","11,465,931"
TOYO SUISAN KAISHA LTD,"45,135,997","45,135,997"
TOYOTA MOTOR CORP,"88,005,214","88,005,214"
TRANE TECHNOLOGIES PLC,"2,453,204","2,453,204"
TRAVELEX TOPCO LIMITED,"123,825","123,825"
TRUIST FINANCIAL CORP,"3,167,933","3,167,933"
TSUBAKIMOTO CHAIN CO,"9,701,099","9,701,099"
TURKCELL ILETISIM HIZMET AS,"26,662,417","26,662,417"
TWITTER INC,"14,751,543","14,751,543"
UNICHARM CORP,"41,180,078","41,180,078"
UNILEVER PLC,"8,830,636","8,830,636"
UNITED PARCEL SERVICE CL B,"764,261,340","764,261,340"
UTILICO EMERGING MARKETS TRUST,"14,721,318","14,721,318"
VANGUARD FTSE EUROPE ETF,"2,986,639","2,986,639"
VANGUARD MORTGAGE BACKED SECUR,"3,548,722","3,548,722"
VESTAS WIND SYSTEMS A/S,"20,230,139","20,230,139"
VIETNAM DAIRY PRODUCTS JSC,"4,228,977","4,228,977"
VIETNAM HOLDING LTD,"1,408,595","1,408,595"
VINACAPITAL VIETNAM OPPORTUNIT,"46,358,832","46,358,832"
VISCOFAN SA,"3,332,022","3,332,022"
VOYA ASIA PACIFIC HIGH DIVIDEN,"4,735,997","4,735,997"
WALMART DE MEXICO SAB DE CV,"50,175,083","50,175,083"
WALT DISNEY CO/THE,"3,043,824","3,043,824"
WANT WANT CHINA HOLDINGS LTD,"23,961,412","23,961,412"
WASTE MANAGEMENT INC,"2,197,468,939","2,197,468,939"
WEISS KOREA OPPORTUNITY FUND L,"14,741,951","14,741,951"
WESTERN ASSET GLOBAL CORPORATE,"1,738,215","1,738,215"
WESTERN ASSET INTERMEDIATE MUN,"68,080","68,080"
WH SMITH PLC,"3,801,173","3,801,173"
WITAN INVESTMENT TRUST PLC,"2,221,135","2,221,135"
WULIANGYE YIBIN CO LTD A,"28,833,520","28,833,520"
YAMATO KOGYO CO LTD,"16,010,461","16,010,461"
YODOGAWA STEEL WORKS LTD,"6,326,408","6,326,408"
YUNNAN ENERGY NEW MATERIAL A,"82,072,253","82,072,253"
ZENKOKU HOSHO CO LTD,"14,251,199","14,251,199"
ZHEJIANG SATELLITE PETROCH A,"37,027,578","37,027,578"
ZOOMLION HEAVY INDUSTRY S A,"54,549,289","54,549,289"
ZOZO INC,"41,521,703","41,521,703"
